District,Neighborhood,Areas,weekly_rent_1,weekly_rent_2,weekly_rent_3,weekly_rent_4,sales_1,sales_2,sales_3,sales_4
BR1,Bromley,,221,300,348,432,264,366,431,751
BR2,Bromley,,227,304,391,629,231,367,520,603
BR3,Bromley,,223,315,376,485,271,364,494,677
BR4,Bromley,,237,265,409,508,147,353,592,734
BR5,Bromley,,167,263,318,438,216,308,377,673
BR6,Bromley,,162,280,342,421,244,347,482,647
BR7,Bromley,,156,308,468,444,251,458,507,796
BR8,Bromley,,230,239,323,335,128,291,357,420
CR0,Croydon,,203,295,351,443,248,325,392,491
CR2,Croydon,,219,286,365,435,253,296,439,607
CR3,Croydon,,218,251,381,508,191,281,435,704
CR4,Croydon,,182,286,379,462,246,319,422,552
CR5,Croydon,,208,291,363,451,232,318,517,593
CR6,Croydon,,202,265,346,542,222,343,416,566
CR7,Croydon,,174,285,342,432,240,275,408,508
CR8,Croydon,,188,286,323,433,323,347,480,697
CR9,Croydon,,206,318,314,450,232,322,422,528
DA1,Bexley,,176,257,306,392,189,248,348,466
DA2,Dartford,,181,244,346,346,154,253,341,463
DA3,Dartford,,160,240,289,450,283,249,312,477
DA4,Dartford,,111,219,352,369,161,220,349,587
DA5,Bexley,,213,271,358,560,219,283,433,565
DA6,Bexley,,205,279,288,462,227,280,400,575
DA7,Bexley,,127,268,337,335,200,246,409,535
DA8,Bexley,,194,266,315,312,192,227,333,418
DA9,Dartford,,182,278,334,375,179,236,397,492
DA10,Dartford,,195,253,297,392,170,253,392,449
DA11,Dartford,,161,207,250,309,149,205,316,391
DA12,Dartford,,164,216,271,312,149,235,300,406
DA13,Dartford,,182,228,346,456,155,336,338,587
DA14,Bexley,Bexley,208,279,337,404,170,275,417,489
DA15,Bexley,,170,234,345,375,156,296,439,579
DA16,Dartford,,214,263,339,392,184,322,412,482
DA17,Bexley,,196,255,297,350,182,234,349,493
DA18,Dartford,,183,248,300,312,178,270,325,345
E1,Eastern,Mile End,328,517,676,576,473,625,659,648
E2,Eastern,Bethnal Green,250,450,601,657,438,591,565,805
E3,Eastern,Bow,223,404,486,604,352,462,508,616
E4,Eastern,Chingford,229,293,389,439,213,330,468,631
E5,Eastern,Clapton,311,405,527,740,367,430,633,958
E6,Eastern,East Ham,261,311,384,428,239,324,422,450
E7,Eastern,Forest Gate,202,323,378,439,292,334,473,625
E8,Eastern,Hackney,384,476,673,387,431,598,791,877
